chromosome	CDS_start	CDS_end	new_start	Filter
LG24	91265631	91266676	12456377	Not Valid
LG24	91265631	91266676	2760471	Not Valid
LG7	91265631	91266676	16192461	Not Valid
LG16	17560297	17563931	17560300	PASS
UN	91265631	91266676	78918143	Not Valid
LG13	23505453	23508307	23506300	PASS
UN	91265631	91266676	8410166	Not Valid
LG13	8999226	9006145	9005993	PASS
LG24	5850763	5882572	5881025	PASS
UN	80605647	80612622	80606870	PASS
LG2	91265631	91266676	5333059	Not Valid
LGx	238853	242842	238885	PASS
LG17	91265631	91266676	8400903	Not Valid
LG11	13593457	13622104	13622077	PASS
UN	91265631	91266676	8777416	Not Valid
LG5	10041978	10061575	10055990	PASS
LG7	91265631	91266676	20293453	Not Valid
LG1B	8531081	8551511	8532461	PASS
LG13	8999226	9005935	9002786	PASS
LG10	13500110	13562971	13547571	PASS
LG4	24566670	24571778	24571724	PASS
LG4	13486210	13488192	13487087	PASS
LG22-25	91265631	91266676	11065051	Not Valid
LG4	91265631	91266676	9585915	Not Valid
LG6	4708637	4711080	4710843	PASS
LG20	14823230	14827533	14826838	PASS
LG4	91265631	91266676	24344988	Not Valid
LG16	5401222	5419996	5401500	PASS
LG10	91265631	91266676	13865752	Not Valid
LG7	20038275	20051605	20046760	PASS
LG11	9199200	9200731	9199685	PASS
UN	91265631	91266676	31035338	Not Valid
LG6	4626225	4635320	4635153	PASS
UN	91265631	91266676	43248879	Not Valid
UN	91265631	91266676	30233813	Not Valid
UN	91265631	91266676	41636748	Not Valid
LGx	667015	675961	672839	PASS
LG20	91265631	91266676	14988218	Not Valid
LG10	91265631	91266676	18926512	Not Valid
LG4	18752302	18759400	18754604	PASS
LG6	91265631	91266676	17190700	Not Valid
LG14	91265631	91266676	19967734	Not Valid
LG15	91265631	91266676	2539996	Not Valid
LG7	24508390	24539653	24539610	PASS
LG15	12600314	12603446	12602596	PASS
LG19	91265631	91266676	8875489	Not Valid
LG1A	14124507	14142250	14137931	PASS
UN	90417358	90588298	90455502	PASS
LG5	91265631	91266676	28283376	Not Valid
LG22-25	91265631	91266676	23005710	Not Valid
LG10	91265631	91266676	9349531	Not Valid
UN	91265631	91266676	23487119	Not Valid
LG1A	91265631	91266676	7637143	Not Valid
LG7	1610883	1624182	1611642	PASS
UN	76277800	76278800	76278152	PASS
UN	42970325	42973658	42970462	PASS
LG19	91265631	91266676	16289304	Not Valid
UN	67653910	67656037	67655392	PASS
LG10	8931553	8948915	8936736	PASS
LG6	21878650	21937200	21878907	PASS
LG1A	91265631	91266676	22257931	Not Valid
LG8	91265631	91266676	12167966	Not Valid
UN	95761250	95764537	95764169	PASS
LG8	6320243	6329033	6328869	PASS
LG14	91265631	91266676	14058251	Not Valid
LG22-25	91265631	91266676	6809700	Not Valid
UN	49756171	49787646	49757580	PASS
LG8	6134309	6148131	6144805	PASS
LG11	91265631	91266676	15839620	Not Valid
UN	91265631	91266676	55204852	Not Valid
UN	68429728	68589495	68582107	PASS
LG8	3926952	3930164	3927003	PASS
UN	91265631	91266676	26292632	Not Valid
LG6	91265631	91266676	23417709	Not Valid
LG4	19392943	19403225	19403104	PASS
UN	91265631	91266676	7886090	Not Valid
LG2	91265631	91266676	10538727	Not Valid
LG16	13951902	13981940	13952546	PASS
LG1A	20027221	20054798	20037810	PASS
LG24	91265631	91266676	5825271	Not Valid
LG20	91265631	91266676	22251766	Not Valid
