     chromosome |       old_start |         old_end |       new_start |         new_end |           codon  |      Length add  | brin 
            LG4 |         1402955 |         1402957 |         1402958 |         1402960 |             TGA  |               3  |  +
           LG12 |         3445464 |         3445466 |         3445460 |         3445462 |             TAA  |               2  |  -
           LG19 |         4944693 |         4944695 |         4944786 |         4944788 |             TAA  |              93  |  +
            LG4 |        15640581 |        15640583 |        15640611 |        15640613 |             TAA  |              30  |  +
             UN |        28485801 |        28485803 |        28485804 |        28485806 |             TGA  |               3  |  +
           LG16 |        17485966 |        17485968 |        17485941 |        17485943 |             TAA  |              23  |  -
        LG18-21 |         3692876 |         3692878 |         3692879 |         3692881 |             TAG  |               3  |  +
           LG11 |        23650092 |        23650094 |        23650095 |        23650097 |             TAA  |               3  |  +
           LG16 |        13914694 |        13914696 |        13914690 |        13914692 |             TAG  |               2  |  -
            LG5 |        25944162 |        25944164 |        25944158 |        25944160 |             TAA  |               2  |  -
        LG22-25 |          122920 |          122922 |          122916 |          122918 |             TAA  |               2  |  -
             UN |        92154463 |        92154465 |        92154429 |        92154431 |             TAA  |              32  |  -
           LG19 |        13094214 |        13094216 |        13094217 |        13094219 |             TAG  |               3  |  +
             UN |        94541912 |        94541914 |        94541908 |        94541910 |             TAG  |               2  |  -
           LG20 |        10223467 |        10223469 |        10223470 |        10223472 |             TGA  |               3  |  +
           LG10 |        15063101 |        15063103 |        15063104 |        15063106 |             TGA  |               3  |  +
           LG1A |        27356370 |        27356372 |        27356373 |        27356375 |             TGA  |               3  |  +
             UN |        77823694 |        77823696 |        77823561 |        77823563 |             TAG  |             131  |  -
           LG17 |        14758642 |        14758644 |        14758638 |        14758640 |             TAG  |               2  |  -
            LG2 |         8013215 |         8013217 |         8013175 |         8013177 |             TAA  |              38  |  -
           LG19 |        12855964 |        12855966 |        12855960 |        12855962 |             TAG  |               2  |  -
             UN |        37203624 |        37203626 |        37203620 |        37203622 |             TGA  |               2  |  -
             UN |        43016098 |        43016100 |        43016101 |        43016103 |             TGA  |               3  |  +
             UN |        38965569 |        38965571 |        38965475 |        38965477 |             TAA  |              92  |  -
             UN |        95194233 |        95194235 |        95194236 |        95194238 |             TGA  |               3  |  +
             UN |        32791991 |        32791993 |        32791525 |        32791527 |             TAG  |             464  |  -
           LG1B |         8174053 |         8174055 |         8174056 |         8174058 |             TAG  |               3  |  +
           LG1A |        23011613 |        23011615 |        23011616 |        23011618 |             TAG  |               3  |  +
           LG17 |         6496352 |         6496354 |         6496057 |         6496059 |             TAA  |             293  |  -
            LG2 |        12971898 |        12971900 |        12971901 |        12971903 |             TAA  |               3  |  +
            LG5 |        19257943 |        19257945 |        19257939 |        19257941 |             TGA  |               2  |  -
        LG22-25 |         3137848 |         3137850 |         3137851 |         3137853 |             TGA  |               3  |  +
            LG7 |        10698606 |        10698608 |        10698602 |        10698604 |             TGA  |               2  |  -
            LG7 |        14049035 |        14049037 |        14049031 |        14049033 |             TGA  |               2  |  -
            LG8 |        13919763 |        13919765 |        13919759 |        13919761 |             TAA  |               2  |  -
             UN |        90417358 |        90417360 |        90417354 |        90417356 |             TAA  |               2  |  -
             UN |        43134814 |        43134816 |        43134817 |        43134819 |             TAA  |               3  |  +
           LG12 |        22252897 |        22252899 |        22252921 |        22252923 |             TAA  |              24  |  +
           LG13 |           11902 |           11904 |           11898 |           11900 |             TAG  |               2  |  -
