chromosome	CDS_start	CDS_end	new_end	Filter
LG4	1400653	1405759	1402960	PASS
LG12	3443051	3451014	3445462	PASS
LG19	4933598	4964104	4944788	PASS
LG4	15635087	15642782	15640613	PASS
UN	28485679	28486938	28485806	PASS
LG16	17484928	17488508	17485943	PASS
LG18-21	3691963	3706198	3692881	PASS
LG11	23646431	23650344	23650097	PASS
LG16	13914327	13914938	13914692	PASS
LG5	91265631	91266676	25944160	Not Valid
LG22-25	91265631	91266676	122918	Not Valid
UN	91265631	91266676	92154431	Not Valid
LG19	91265631	91266676	13094219	Not Valid
UN	91265631	91266676	94541910	Not Valid
LG20	91265631	91266676	10223472	Not Valid
LG10	91265631	91266676	15063106	Not Valid
LG1A	91265631	91266676	27356375	Not Valid
UN	91265631	91266676	77823563	Not Valid
LG17	91265631	91266676	14758640	Not Valid
LG2	8013002	8021346	8013177	PASS
LG19	12855775	12909946	12855962	PASS
UN	37106320	37362306	37203622	PASS
UN	91265631	91266676	43016103	Not Valid
UN	91265631	91266676	38965477	Not Valid
UN	91265631	91266676	95194238	Not Valid
UN	32787955	32793378	32791527	PASS
LG1B	91265631	91266676	8174058	Not Valid
LG1A	91265631	91266676	23011618	Not Valid
LG17	91265631	91266676	6496059	Not Valid
LG2	12970692	12989753	12971903	PASS
LG5	91265631	91266676	19257941	Not Valid
LG22-25	3116824	3137988	3137853	PASS
LG7	10688952	10699061	10698604	PASS
LG7	91265631	91266676	14049033	Not Valid
LG8	91265631	91266676	13919761	Not Valid
UN	91265631	91266676	90417356	Not Valid
UN	91265631	91266676	43134819	Not Valid
LG12	91265631	91266676	22252923	Not Valid
LG13	9531	14354	11900	PASS
LG11	22171299	22257395	22193040	PASS
UN	91265631	91266676	63420908	Not Valid
LG10	91265631	91266676	17852146	Not Valid
LG2	91265631	91266676	14359891	Not Valid
UN	92071690	92077401	92076599	PASS
UN	7658715	7806334	7709754	PASS
UN	91265631	91266676	93788135	Not Valid
UN	91265631	91266676	10384610	Not Valid
LG8	91265631	91266676	4054695	Not Valid
LG22-25	20362324	20365015	20364551	PASS
UN	87245452	87246322	87245475	PASS
LG8	18297355	18308632	18298033	PASS
LG1A	23164454	23176678	23166231	PASS
UN	91265631	91266676	3711580	Not Valid
LG4	91265631	91266676	11578938	Not Valid
LG15	91265631	91266676	19080312	Not Valid
UN	91265631	91266676	2343703	Not Valid
LG6	91265631	91266676	21338482	Not Valid
UN	25554418	25608239	25597100	PASS
UN	91265631	91266676	18901739	Not Valid
LG1A	16794222	16803792	16802702	PASS
UN	91265631	91266676	85836501	Not Valid
UN	91265631	91266676	75538575	Not Valid
LG7	3554598	3616781	3616642	PASS
LG13	91265631	91266676	12560637	Not Valid
UN	63153851	63155127	63154799	PASS
LG20	1074033	1075012	1074794	PASS
LG18-21	10654930	10665014	10664471	PASS
LG2	91265631	91266676	7804032	Not Valid
UN	91265631	91266676	72486634	Not Valid
LG15	91265631	91266676	13801444	Not Valid
LG4	2773883	2782716	2778712	PASS
UN	32328379	32331380	32329764	PASS
LG6	91265631	91266676	800020	Not Valid
UN	14649504	14689327	14652743	PASS
LG14	9645579	9856558	9735003	PASS
LG15	91265631	91266676	3453902	Not Valid
LG1A	91265631	91266676	26243076	Not Valid
UN	91265631	91266676	61683058	Not Valid
LG19	9226426	9237770	9227973	PASS
LG15	91265631	91266676	23200075	Not Valid
LG5	91265631	91266676	23666867	Not Valid
LG7	3462603	3482075	3479080	PASS
LG20	91265631	91266676	9243399	Not Valid
LG24	91265631	91266676	6320281	Not Valid
LG6	91265631	91266676	553973	Not Valid
LG4	91265631	91266676	1960324	Not Valid
UN	91265631	91266676	9086570	Not Valid
UN	91265631	91266676	92228886	Not Valid
UN	91265631	91266676	15594426	Not Valid
UN	96173063	96176286	96174664	PASS
LG20	18041296	18292859	18139090	PASS
UN	91265631	91266676	77560590	Not Valid
LG18-21	91265631	91266676	6462327	Not Valid
UN	91265631	91266676	38352586	Not Valid
LG24	91265631	91266676	5729160	Not Valid
UN	11920121	11922767	11922026	PASS
UN	74901911	74904996	74904760	PASS
LG5	881931	925916	885925	PASS
LG11	11821234	12020366	12002544	PASS
LG8	14609817	14627480	14612174	PASS
LG10	91265631	91266676	23272394	Not Valid
LG13	91265631	91266676	1743976	Not Valid
UN	91265631	91266676	96148141	Not Valid
LG4	91265631	91266676	25548890	Not Valid
LG2	8025714	8120545	8068190	PASS
LG14	91265631	91266676	27517066	Not Valid
LG20	91265631	91266676	7588425	Not Valid
UN	91265631	91266676	79392814	Not Valid
LG7	91265631	91266676	25755856	Not Valid
UN	81152639	81374355	81370405	PASS
LG17	91265631	91266676	3477124	Not Valid
LG14	9074976	9084686	9082929	PASS
LG2	91265631	91266676	6342814	Not Valid
LG18-21	91265631	91266676	12574158	Not Valid
UN	91265631	91266676	15608485	Not Valid
LG6	91265631	91266676	589807	Not Valid
UN	91265631	91266676	93597756	Not Valid
LG19	7352287	7363959	7363600	PASS
LG5	91265631	91266676	14705198	Not Valid
LG13	13874714	13976268	13875928	PASS
LG2	91265631	91266676	13591203	Not Valid
UN	56886697	56915268	56888840	PASS
UN	15717983	16167386	15992030	PASS
LG10	91265631	91266676	8134479	Not Valid
LG8	10528702	10538700	10536816	PASS
LG24	91265631	91266676	876891	Not Valid
LG1A	25914979	25924134	25917919	PASS
UN	91265631	91266676	94027952	Not Valid
LG4	91265631	91266676	18744311	Not Valid
LG7	91265631	91266676	8140869	Not Valid
UN	91265631	91266676	85469372	Not Valid
UN	91265631	91266676	18585420	Not Valid
LGx	91265631	91266676	8046865	Not Valid
LG13	14404382	14447888	14443754	PASS
UN	91265631	91266676	15716053	Not Valid
UN	91265631	91266676	28023809	Not Valid
LG15	2686433	2688006	2687437	PASS
LG2	4186741	4207005	4202911	PASS
LG12	91265631	91266676	2629146	Not Valid
LG6	7844694	7860177	7858036	PASS
UN	91265631	91266676	68150037	Not Valid
UN	91265631	91266676	63404568	Not Valid
LG7	12735172	12743365	12741914	PASS
UN	91265631	91266676	71359124	Not Valid
LG20	91265631	91266676	15012398	Not Valid
LG6	12881473	12883751	12881491	PASS
LG4	10839540	10842903	10841191	PASS
LGx	91265631	91266676	17242788	Not Valid
LG20	91265631	91266676	7931153	Not Valid
UN	91265631	91266676	74459887	Not Valid
LG22-25	5602448	5615656	5603393	PASS
LG24	13323449	13359191	13324256	PASS
LG9	91265631	91266676	6699287	Not Valid
UN	55380104	55423431	55391447	PASS
LG22-25	8822896	8829734	8829358	PASS
LG2	91265631	91266676	4333385	Not Valid
LG9	14668048	14676568	14671648	PASS
LG15	3308802	3318646	3310986	PASS
LG9	6581926	6603351	6600822	PASS
LG6	17177853	17179916	17178813	PASS
LG18-21	91265631	91266676	7624410	Not Valid
LG19	17318503	17322714	17321831	PASS
UN	91265631	91266676	65761366	Not Valid
LG7	9676278	9681707	9676754	PASS
UN	91265631	91266676	87042768	Not Valid
UN	56199818	56215043	56201102	PASS
LG20	91265631	91266676	9101749	Not Valid
LG19	91265631	91266676	17286043	Not Valid
LG18-21	91265631	91266676	1489066	Not Valid
LG9	10019299	10065769	10025205	PASS
LG13	91265631	91266676	21575796	Not Valid
LG24	9871043	10023775	9982851	PASS
LG4	91265631	91266676	26508999	Not Valid
LG14	91265631	91266676	13217991	Not Valid
UN	79828742	79831146	79830732	PASS
UN	91265631	91266676	69018762	Not Valid
UN	91265631	91266676	64155915	Not Valid
LG9	91265631	91266676	7127971	Not Valid
UN	91265631	91266676	28463715	Not Valid
LG1B	4597232	4626376	4623856	PASS
LG20	91265631	91266676	4346663	Not Valid
UN	91265631	91266676	79052510	Not Valid
UN	96173063	96176286	96176213	PASS
LG19	91265631	91266676	14930584	Not Valid
LG19	91265631	91266676	631076	Not Valid
UN	91265631	91266676	33999109	Not Valid
LG20	91265631	91266676	14623785	Not Valid
UN	91265631	91266676	70408043	Not Valid
UN	79147416	79179130	79169657	PASS
LG1A	91265631	91266676	17045795	Not Valid
LG2	7849283	7865157	7860284	PASS
UN	91265631	91266676	10659454	Not Valid
LG1B	91265631	91266676	16302854	Not Valid
LG16	13509783	13516809	13514512	PASS
LG10	91265631	91266676	15894107	Not Valid
LGx	1409495	1411627	1410613	PASS
LG17	91265631	91266676	5998363	Not Valid
LG22-25	91265631	91266676	11022711	Not Valid
UN	91265631	91266676	76883582	Not Valid
UN	91265631	91266676	5570009	Not Valid
LG22-25	91265631	91266676	23271976	Not Valid
LG13	18460763	18473571	18466488	PASS
UN	91265631	91266676	8912103	Not Valid
